"SubID","Gender","Age","Grade","SES","TeacherID","t0Know","t0TchExp","PIS","time","Rapport","STRS"
1,2,9,4,2,5,-0.23135,2.857143,2.875,1,3.65,73
2,1,11,6,2,12,-0.003201,3.142857,7.25,1,3.8,110
3,2,10,6,2,13,0.356242,3.142857,4.125,1,3.5,108
4,1,10,5,2,8,1.751254,2.857143,2.875,1,2.85,118
5,2,11,6,2,15,-0.933597,3.571429,6.5,1,3.45,132
6,1,9,4,2,5,-0.987546,3.142857,2.875,1,3.5,123
7,2,9,4,2,3,-0.933597,3.142857,3,1,3.55,107
8,1,10,5,2,9,-0.18572,4,6.5,1,3.55,129
9,2,10,5,2,6,-0.1774,2.857143,2.625,1,3.6,92
10,1,11,6,2,12,0.652076,3.571429,7.25,1,3.35,127
11,1,9,5,2,8,1.386216,4,2.875,1,3.9,127
12,2,10,5,2,7,-0.445584,3.428571,5.75,1,3.45,120
13,2,10,5,2,8,2.298811,3.428571,2.875,1,2.5,114
14,2,8,4,2,3,-0.536843,3.571429,3,1,3.65,115
15,2,9,5,2,8,0.264982,2.714286,2.875,1,3.55,106
16,1,10,5,2,9,0.173723,3.571429,6.5,1,3.9,126
17,1,10,5,2,9,0.63002,3.428571,6.5,1,3.95,132
18,2,11,6,2,15,-0.048831,2.428571,6.5,1,2.8,133
19,,,,,,,,,1,,
20,1,9,4,2,4,-0.536843,4,8.875,1,3.95,88
21,1,11,6,2,16,-0.437264,3.857143,6,1,2.95,119
22,1,10,5,2,11,1.796884,3.285714,6.75,1,3.95,128
23,1,9,5,2,10,-0.18572,3.285714,4.375,1,3.25,
24,2,11,6,2,12,0.264982,3.142857,7.25,1,2.8,69
25,1,9,4,2,1,-0.933597,3.285714,,1,3.55,
26,1,9,4,2,1,0.356242,3.142857,,1,3.8,
27,2,9,4,2,1,-1.20178,3.714286,,1,3.75,
28,2,9,4,2,2,-0.636422,2.714286,9,1,1.85,116
29,2,10,5,2,6,-0.14009,2.857143,2.625,1,2.5,89
30,1,11,6,2,16,-0.933597,3.142857,6,1,3.35,112
31,1,11,6,2,12,0.995058,3.571429,7.25,1,3.5,132
32,2,9,4,2,2,-0.933597,2.714286,9,1,3.35,113
33,2,8,4,2,5,-0.528524,3.142857,2.875,1,2.95,71
34,1,10,5,2,6,-0.933597,3.142857,2.625,1,3.2,109
35,2,11,6,2,15,0.401872,3,6.5,1,3.25,117
36,2,10,5,2,9,0.401872,3.285714,6.5,1,3.65,126
37,1,10,5,2,11,0.981144,4,6.75,1,3.7,124
38,1,9,5,2,9,-0.18572,3.142857,6.5,1,3.8,132
39,1,11,6,2,12,-1.15615,3.571429,7.25,1,3.85,129
40,1,9,5,2,11,1.203697,3.571429,6.75,1,3.95,132
41,1,10,5,2,11,0.72128,3.285714,6.75,1,3.75,128
42,2,9,5,2,10,0.264982,3,4.375,1,2.55,106
43,1,9,4,2,1,-0.636422,3.571429,,1,3.65,
44,2,9,5,2,9,0.401872,2.857143,6.5,1,3.5,112
45,1,10,5,2,8,0.173723,3.428571,2.875,1,3.8,129
46,2,10,5,2,11,1.998912,2.285714,6.75,1,2.9,117
47,1,9,4,2,5,-0.1774,3.857143,2.875,1,3.95,85
48,1,10,5,1,9,-0.582473,3.285714,6.5,1,3.9,122
49,1,9,4,2,5,0.227672,3.714286,2.875,1,3.75,124
50,2,11,6,2,14,-0.491214,3.714286,5,1,2.8,102
51,2,10,5,1,9,-0.18572,2.714286,6.5,1,1.1,124
52,2,10,6,2,14,-0.391635,2.142857,5,1,3.75,97
53,2,9,4,2,5,-0.987546,3,2.875,1,3.75,120
54,1,10,5,2,8,-0.086141,3.857143,2.875,1,3.9,111
55,1,10,5,2,8,1.086317,3.571429,2.875,1,3.45,114
56,1,9,4,2,2,-0.482894,3.142857,9,1,3.9,124
57,1,10,5,2,6,0.173723,3.571429,2.625,1,3.9,113
58,1,10,5,2,10,0.995058,3,4.375,1,3.6,109
59,1,11,6,2,15,1.49139,3,6.5,1,3.55,124
60,1,10,5,2,10,1.021179,3.428571,4.375,1,3.75,99
61,2,11,5,2,8,0.707365,2.714286,2.875,1,3.5,124
62,,,,1,,,,,1,,
63,1,11,6,2,14,-0.300375,2.142857,5,1,2.75,119
64,1,10,5,2,9,-0.536843,3.571429,6.5,1,3.65,119
65,1,11,6,2,12,-1.338669,3,7.25,1,3.7,114
66,1,10,5,2,11,0.224947,4,6.75,1,3.95,125
67,1,11,6,2,,-0.636422,3.142857,,1,,
68,2,10,5,2,10,0.453096,3.571429,4.375,1,3.7,100
69,1,11,6,2,15,0.278897,2.714286,6.5,1,3.3,129
70,2,10,5,2,6,-0.23135,2.428571,2.625,1,2.45,99
71,1,10,5,2,7,-0.094461,3.714286,5.75,1,3.25,117
72,2,10,5,2,6,-0.23135,3,2.625,1,2.55,104
73,2,10,5,2,11,0.264982,2.857143,6.75,1,3.65,116
74,2,9,4,2,4,0.264982,2.857143,8.875,1,2.55,116
75,1,9,4,2,5,-0.1774,3.428571,2.875,1,3.7,114
76,2,11,6,1,14,-0.842337,3.428571,5,1,2.6,103
77,2,11,6,1,13,-0.536843,3.571429,4.125,1,3.4,112
78,1,10,5,2,6,-0.18572,3.142857,2.625,1,3.4,113
79,1,11,6,2,12,-0.437264,3.428571,7.25,1,3.85,125
80,2,9,4,2,4,-0.933597,2.857143,8.875,1,3.95,116
81,2,9,4,2,3,-0.933597,3.428571,3,1,3.6,119
82,2,10,5,2,9,0.219353,4,6.5,1,2.85,106
83,1,10,5,2,7,-0.003201,3.428571,5.75,1,3.3,118
84,1,,5,2,7,,,5.75,1,,
1,2,9,4,2,5,-0.23135,2.857143,2.875,2,3.75,76
2,1,11,6,2,12,-0.003201,3.142857,7.25,2,3.85,120
3,2,10,6,2,13,0.356242,3.142857,4.125,2,3.65,108
4,1,10,5,2,8,1.751254,2.857143,2.875,2,3.05,123
5,2,11,6,2,15,-0.933597,3.571429,6.5,2,2.45,122
6,1,9,4,2,5,-0.987546,3.142857,2.875,2,3.6,123
7,2,9,4,2,3,-0.933597,3.142857,3,2,3.5,117
8,1,10,5,2,9,-0.18572,4,6.5,2,3.35,117
9,2,10,5,2,6,-0.1774,2.857143,2.625,2,3.8,98
10,1,11,6,2,12,0.652076,3.571429,7.25,2,3.9,136
11,1,9,5,2,8,1.386216,4,2.875,2,3.5,128
12,2,10,5,2,7,-0.445584,3.428571,5.75,2,2.3,107
13,2,10,5,2,8,2.298811,3.428571,2.875,2,2.05,118
14,2,8,4,2,3,-0.536843,3.571429,3,2,3.7,110
15,2,9,5,2,8,0.264982,2.714286,2.875,2,3.6,124
16,1,10,5,2,9,0.173723,3.571429,6.5,2,3.9,127
17,1,10,5,2,9,0.63002,3.428571,6.5,2,3.95,125
18,2,11,6,2,15,-0.048831,2.428571,6.5,2,2.7,132
19,,,,,,,,,2,,
20,1,9,4,2,4,-0.536843,4,8.875,2,3.8,125
21,1,11,6,2,16,-0.437264,3.857143,6,2,2.65,131
22,1,10,5,2,11,1.796884,3.285714,6.75,2,3.5,121
23,1,9,5,2,10,-0.18572,3.285714,4.375,2,3.5,123
24,2,11,6,2,12,0.264982,3.142857,7.25,2,2.65,80
25,1,9,4,2,1,-0.933597,3.285714,,2,2.75,95
26,1,9,4,2,1,0.356242,3.142857,,2,3.5,121
27,2,9,4,2,1,-1.20178,3.714286,,2,3.4,91
28,2,9,4,2,2,-0.636422,2.714286,9,2,1.4,114
29,2,10,5,2,6,-0.14009,2.857143,2.625,2,3,95
30,1,11,6,2,16,-0.933597,3.142857,6,2,3.65,117
31,1,11,6,2,12,0.995058,3.571429,7.25,2,3.65,138
32,2,9,4,2,2,-0.933597,2.714286,9,2,3,120
33,2,8,4,2,5,-0.528524,3.142857,2.875,2,2.85,63
34,1,10,5,2,6,-0.933597,3.142857,2.625,2,3.15,119
35,2,11,6,2,15,0.401872,3,6.5,2,3.05,128
36,2,10,5,2,9,0.401872,3.285714,6.5,2,2.7,111
37,1,10,5,2,11,0.981144,4,6.75,2,3,98
38,1,9,5,2,9,-0.18572,3.142857,6.5,2,3.6,124
39,1,11,6,2,12,-1.15615,3.571429,7.25,2,4,139
40,1,9,5,2,11,1.203697,3.571429,6.75,2,3.55,126
41,1,10,5,2,11,0.72128,3.285714,6.75,2,3.75,125
42,2,9,5,2,10,0.264982,3,4.375,2,1.95,113
43,1,9,4,2,1,-0.636422,3.571429,,2,3.75,106
44,2,9,5,2,9,0.401872,2.857143,6.5,2,2.7,118
45,1,10,5,2,8,0.173723,3.428571,2.875,2,3.45,138
46,2,10,5,2,11,1.998912,2.285714,6.75,2,3.35,115
47,1,9,4,2,5,-0.1774,3.857143,2.875,2,3.8,101
48,1,10,5,1,9,-0.582473,3.285714,6.5,2,3.45,114
49,1,9,4,2,5,0.227672,3.714286,2.875,2,3.7,119
50,2,11,6,2,14,-0.491214,3.714286,5,2,2.8,108
51,2,10,5,1,9,-0.18572,2.714286,6.5,2,1.25,110
52,2,10,6,2,14,-0.391635,2.142857,5,2,,104
53,2,9,4,2,5,-0.987546,3,2.875,2,3.1,158
54,1,10,5,2,8,-0.086141,3.857143,2.875,2,2.8,116
55,1,10,5,2,8,1.086317,3.571429,2.875,2,3.1,100
56,1,9,4,2,2,-0.482894,3.142857,9,2,4,132
57,1,10,5,2,6,0.173723,3.571429,2.625,2,3.2,126
58,1,10,5,2,10,0.995058,3,4.375,2,3.4,131
59,1,11,6,2,15,1.49139,3,6.5,2,3.95,132
60,1,10,5,2,10,1.021179,3.428571,4.375,2,3.85,122
61,2,11,5,2,8,0.707365,2.714286,2.875,2,3.05,121
62,,,,1,,,,,2,,
63,1,11,6,2,14,-0.300375,2.142857,5,2,2.65,103
64,1,10,5,2,9,-0.536843,3.571429,6.5,2,3.6,128
65,1,11,6,2,12,-1.338669,3,7.25,2,3.7,127
66,1,10,5,2,11,0.224947,4,6.75,2,3.7,129
67,1,11,6,2,,-0.636422,3.142857,,2,,
68,2,10,5,2,10,0.453096,3.571429,4.375,2,3.7,111
69,1,11,6,2,15,0.278897,2.714286,6.5,2,,121
70,2,10,5,2,6,-0.23135,2.428571,2.625,2,1.6,99
71,1,10,5,2,7,-0.094461,3.714286,5.75,2,3.2,117
72,2,10,5,2,6,-0.23135,3,2.625,2,2.35,94
73,2,10,5,2,11,0.264982,2.857143,6.75,2,3.55,113
74,2,9,4,2,4,0.264982,2.857143,8.875,2,2.05,110
75,1,9,4,2,5,-0.1774,3.428571,2.875,2,3.8,127
76,2,11,6,1,14,-0.842337,3.428571,5,2,2.7,110
77,2,11,6,1,13,-0.536843,3.571429,4.125,2,2.65,110
78,1,10,5,2,6,-0.18572,3.142857,2.625,2,3.6,131
79,1,11,6,2,12,-0.437264,3.428571,7.25,2,3.6,137
80,2,9,4,2,4,-0.933597,2.857143,8.875,2,3.75,105
81,2,9,4,2,3,-0.933597,3.428571,3,2,3.8,120
82,2,10,5,2,9,0.219353,4,6.5,2,2.5,106
83,1,10,5,2,7,-0.003201,3.428571,5.75,2,2.8,111
84,1,,5,2,7,,,5.75,2,3,
1,2,9,4,2,5,-0.23135,2.857143,2.875,3,3.6,66
2,1,11,6,2,12,-0.003201,3.142857,7.25,3,3.8,112
3,2,10,6,2,13,0.356242,3.142857,4.125,3,3.05,124
4,1,10,5,2,8,1.751254,2.857143,2.875,3,3.05,128
5,2,11,6,2,15,-0.933597,3.571429,6.5,3,1.75,127
6,1,9,4,2,5,-0.987546,3.142857,2.875,3,3.25,117
7,2,9,4,2,3,-0.933597,3.142857,3,3,3.5,122
8,1,10,5,2,9,-0.18572,4,6.5,3,3,122
9,2,10,5,2,6,-0.1774,2.857143,2.625,3,3.25,81
10,1,11,6,2,12,0.652076,3.571429,7.25,3,3.75,134
11,1,9,5,2,8,1.386216,4,2.875,3,2.25,128
12,2,10,5,2,7,-0.445584,3.428571,5.75,3,2.75,125
13,2,10,5,2,8,2.298811,3.428571,2.875,3,1.35,126
14,2,8,4,2,3,-0.536843,3.571429,3,3,3.3,120
15,2,9,5,2,8,0.264982,2.714286,2.875,3,1.45,87
16,1,10,5,2,9,0.173723,3.571429,6.5,3,3.7,128
17,1,10,5,2,9,0.63002,3.428571,6.5,3,3.6,128
18,2,11,6,2,15,-0.048831,2.428571,6.5,3,2.35,132
19,,,,,,,,,3,,
20,1,9,4,2,4,-0.536843,4,8.875,3,3.75,129
21,1,11,6,2,16,-0.437264,3.857143,6,3,1.95,129
22,1,10,5,2,11,1.796884,3.285714,6.75,3,3.35,129
23,1,9,5,2,10,-0.18572,3.285714,4.375,3,3.5,124
24,2,11,6,2,12,0.264982,3.142857,7.25,3,2.4,70
25,1,9,4,2,1,-0.933597,3.285714,,3,2.3,102
26,1,9,4,2,1,0.356242,3.142857,,3,,130
27,2,9,4,2,1,-1.20178,3.714286,,3,3.25,85
28,2,9,4,2,2,-0.636422,2.714286,9,3,1.85,117
29,2,10,5,2,6,-0.14009,2.857143,2.625,3,2.25,107
30,1,11,6,2,16,-0.933597,3.142857,6,3,2.45,107
31,1,11,6,2,12,0.995058,3.571429,7.25,3,3.4,135
32,2,9,4,2,2,-0.933597,2.714286,9,3,3,114
33,2,8,4,2,5,-0.528524,3.142857,2.875,3,3.2,75
34,1,10,5,2,6,-0.933597,3.142857,2.625,3,2.8,118
35,2,11,6,2,15,0.401872,3,6.5,3,1.9,126
36,2,10,5,2,9,0.401872,3.285714,6.5,3,3.5,124
37,1,10,5,2,11,0.981144,4,6.75,3,3.35,94
38,1,9,5,2,9,-0.18572,3.142857,6.5,3,3.6,125
39,1,11,6,2,12,-1.15615,3.571429,7.25,3,3.8,132
40,1,9,5,2,11,1.203697,3.571429,6.75,3,3.45,131
41,1,10,5,2,11,0.72128,3.285714,6.75,3,3.75,129
42,2,9,5,2,10,0.264982,3,4.375,3,2.1,120
43,1,9,4,2,1,-0.636422,3.571429,,3,3.4,104
44,2,9,5,2,9,0.401872,2.857143,6.5,3,2.3,107
45,1,10,5,2,8,0.173723,3.428571,2.875,3,3.35,133
46,2,10,5,2,11,1.998912,2.285714,6.75,3,2.75,108
47,1,9,4,2,5,-0.1774,3.857143,2.875,3,3.45,106
48,1,10,5,1,9,-0.582473,3.285714,6.5,3,3.35,107
49,1,9,4,2,5,0.227672,3.714286,2.875,3,2.45,111
50,2,11,6,2,14,-0.491214,3.714286,5,3,2.4,94
51,2,10,5,1,9,-0.18572,2.714286,6.5,3,1.35,112
52,2,10,6,2,14,-0.391635,2.142857,5,3,3.2,105
53,2,9,4,2,5,-0.987546,3,2.875,3,2.95,98
54,1,10,5,2,8,-0.086141,3.857143,2.875,3,2.4,119
55,1,10,5,2,8,1.086317,3.571429,2.875,3,2.35,106
56,1,9,4,2,2,-0.482894,3.142857,9,3,3.75,120
57,1,10,5,2,6,0.173723,3.571429,2.625,3,3.4,122
58,1,10,5,2,10,0.995058,3,4.375,3,3.55,118
59,1,11,6,2,15,1.49139,3,6.5,3,2.3,129
60,1,10,5,2,10,1.021179,3.428571,4.375,3,3.7,129
61,2,11,5,2,8,0.707365,2.714286,2.875,3,3.3,118
62,,,,1,,,,,3,,
63,1,11,6,2,14,-0.300375,2.142857,5,3,1.95,109
64,1,10,5,2,9,-0.536843,3.571429,6.5,3,3.5,129
65,1,11,6,2,12,-1.338669,3,7.25,3,3.6,106
66,1,10,5,2,11,0.224947,4,6.75,3,3.8,128
67,1,11,6,2,,-0.636422,3.142857,,3,,
68,2,10,5,2,10,0.453096,3.571429,4.375,3,3.7,108
69,1,11,6,2,15,0.278897,2.714286,6.5,3,2.25,120
70,2,10,5,2,6,-0.23135,2.428571,2.625,3,2.05,111
71,1,10,5,2,7,-0.094461,3.714286,5.75,3,2.9,127
72,2,10,5,2,6,-0.23135,3,2.625,3,1.6,98
73,2,10,5,2,11,0.264982,2.857143,6.75,3,1.9,88
74,2,9,4,2,4,0.264982,2.857143,8.875,3,2.6,110
75,1,9,4,2,5,-0.1774,3.428571,2.875,3,3.8,117
76,2,11,6,1,14,-0.842337,3.428571,5,3,2.3,124
77,2,11,6,1,13,-0.536843,3.571429,4.125,3,2.8,117
78,1,10,5,2,6,-0.18572,3.142857,2.625,3,3.1,123
79,1,11,6,2,12,-0.437264,3.428571,7.25,3,3.5,131
80,2,9,4,2,4,-0.933597,2.857143,8.875,3,3.85,106
81,2,9,4,2,3,-0.933597,3.428571,3,3,3.25,117
82,2,10,5,2,9,0.219353,4,6.5,3,3,119
83,1,10,5,2,7,-0.003201,3.428571,5.75,3,3.1,120
84,1,,5,2,7,,,5.75,3,2.25,127
